estado;title;employer;commune;primary_url;motivo;audit_http_code;found_by_agents;first_seen;last_checked
unverifiable;Asistente de Jefatura de Local / Sub-jefe(a) de tienda;Librería Giorgio;Concepción;https://cl.jooble.org/trabajo-librer%C3%ADa-giorgio/Concepci%C3%B3n;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Corrector/a o Supervisor/a en el Estudio de Grabaciones Autogestionadas (Evaluación Docente);MIDE UC - Centro de Medición, Pontificia Universidad Católica de Chile;Remoto;https://mideuc.cl/postule-aqui-a-corrector-a-o-supervisor/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Evaluador/a de Pruebas de Primer y Segundo Ciclo (PLAEP);MIDE UC - Centro de Medición, Pontificia Universidad Católica de Chile;No informado;https://mideuc.cl/oferta-laboral-evaluador-a-de-pruebas-plaep/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Reemplazo Educadora de Párvulos;No informado;Concepción;https://www.chiletrabajos.cl/trabajo/3627848;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Educadora de Párvulos;No informado;Concepción;https://www.chiletrabajos.cl/trabajo/educadora-de-parvulos-concepcion-3181424;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Educadora de Párvulos (jardín infantil / sala cuna);No informado;Concepción;https://www.chiletrabajos.cl/trabajo/educadora-de-parvulos-3820517;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Técnico en Educación Parvularia (jardín infantil particular);No informado;San Pedro de la Paz;https://empleo.mitula.cl/empleo/educacion-parvularia-san-pedro-paz;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Educadora de Párvulos (nivel medio y sala cuna, sector Lomas Coloradas);No informado;San Pedro de la Paz;https://empleo.mitula.cl/empleo/educadora-parvulos-san-pedro-paz/empleo/educadora-parvulos-san-pedro-paz;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;C;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Académicos(as) Facultad de Educación y Ciencias Sociales (convocatoria de 80 posiciones, incluye Concepción);Universidad Andrés Bello (UNAB);No informado;https://noticias.unab.cl/universidad-andres-bello-anuncia-la-apertura-de-80-nuevas-posiciones-academicas/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Llamado a concurso: validación de instrumento de Evaluación (proceso de validación cuantitativa);Universidad de Concepción - Facultad de Educación;Concepción;https://educacion.udec.cl/proyectollamadoconcurso/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Llamado a concursos profesionales de apoyo al Plan de Estudios;Universidad de Concepción - Facultad de Educación;Concepción;https://educacion.udec.cl/llamado-a-concursos/;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
unverifiable;Llamado a concurso (código 3011-2, cargo no especificado en el fragmento indexado);Universidad de Concepción - Facultad de Educación;Concepción;https://educacion.udec.cl/llamado3011-2;No verificable: el gateway de egreso denego la reapertura de la pagina (403 CONNECT). Evidencia limitada a snippet de buscador.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
expired;Analista de Evaluación Docente (contrata, grado 12 E.U.S.);Agencia de Calidad de la Educación;Santiago (Región Metropolitana);http://archivos.agenciaeducacion.cl.s3.amazonaws.com/trabaja-con-nosotros/REX+331+ANALISTA+EVALUACION+DOCENTE.pdf;Cerrada o vencida segun evidencia disponible.;200;A,B;2026-07-27;2026-07-27T12:30:00-04:00
expired;Mediador/a de Lectura part time (20 horas semanales);Biblioteca Viva Biobío;Concepción;https://bibliotecaviva.cl/unete-al-equipo-de-biblioteca-viva-4/;Cerrada o vencida segun evidencia disponible.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
expired;Mediador/a de Lectura (full time);Biblioteca Viva Biobío (Mall Plaza Mirador Biobío);Concepción;https://bibliotecaviva.cl/trabaja-con-nosotros-biobio-abre-vacantes/;Cerrada o vencida segun evidencia disponible.;000;D;2026-07-27;2026-07-27T12:30:00-04:00
expired;Docentes de Educación Básica y Media para Construcción de Preguntas;MIDE UC - Centro de Medición, Pontificia Universidad Católica de Chile;No informado;https://mideuc.cl/oferta-laboral-docentes-de-educacion-basica-y-media-para-construccion-de-preguntas/;Cerrada o vencida segun evidencia disponible.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
expired;Profesores/as Academia 2026 (Química, Biología, Física, Historia, Lenguaje y Literatura, Matemática) - Sede Biobío/Concepción;Preuniversitario Pontificia Universidad Católica (Preuniversitario UC);Concepción;https://cl.trabajo.org/oferta-2254-778e4575cf36f9746a082051edbadf52;Cerrada o vencida segun evidencia disponible.;000;B;2026-07-27;2026-07-27T12:30:00-04:00
expired;Concurso Alta Dirección Pública 2025: Directores/as;Servicio Local de Educación Pública Andalién Costa;San Pedro de la Paz (y Coronel, Lota, Santa Juana, fuera de las 7 comunas);https://adp.serviciocivil.cl/concursos-spl/opencms/permalink/96d2358a-6dff-11ed-8fef-6755d96a8f20;Cerrada o vencida segun evidencia disponible.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
expired;Concurso Director/a para 6 establecimientos (Chiguayante, Florida y Hualqui);Servicio Local de Educación Pública Andalién Sur;Chiguayante, Hualqui (y Florida, fuera de las 7 comunas autorizadas);https://andaliensur.gob.cl/trabajemos;Cerrada o vencida segun evidencia disponible.;000;A;2026-07-27;2026-07-27T12:30:00-04:00
